Year,Round,EventName,DriverAbbr,DriverNumber,TeamName,GridPosition,Position,ClassifiedLaps,TotalRaceLaps,Status,Points,internal_overtakes,external_overtakes,competitive_threats,competitive_opportunities,season_phase,tournament_criticality,is_mathematically_locked_out,is_mathematically_safe,quali_gap_seconds,within_team_pts_gap_before,is_leading_teammate,driver_ct,driver_co,driver_pts_gap_to_p1,times_overtaken_total,driver_experience,sc_lap_fraction,vsc_lap_fraction,CircuitType_street,CircuitLength_km,DRS_Zones,IsSprintWeekend,IsRainy,RainyLapFraction,AirTemp_mean,TrackTemp_mean,Humidity_mean,WindSpeed_mean
2018,1,Australian Grand Prix,ERI,9,Sauber,17,19,6,58,Steering,0,0,0,0,0,0.047619047619047616,0,1,1,3.391999999999996,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,SIR,35,Williams,19,20,5,58,Brakes,0,0,0,0,0,0.047619047619047616,0,1,1,3.0660000000000025,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,2,Bahrain Grand Prix,VET,5,Ferrari,1,1,57,57,Finished,25,0,0,9,0,0.09523809523809523,0.9,1,0,0,10,1,19,0,0,0,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,BOT,77,Mercedes,3,2,57,57,Finished,18,0,0,8,1,0.09523809523809523,0.9,0,0,0.16599999999999682,-14,0,12,7,21,0,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,HAM,44,Mercedes,9,3,57,57,Finished,15,0,5,8,1,0.09523809523809523,0.9,0,0,0.16599999999999682,14,1,18,1,7,0,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,GAS,10,Toro Rosso,5,4,57,57,Finished,12,0,1,0,5,0.09523809523809523,0.5,0,1,1.3709999999999951,0,0,0,10,25,1,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,MAG,20,Haas F1 Team,6,5,57,57,Finished,10,0,3,0,5,0.09523809523809523,0.5,0,1,1.4000000000000057,0,0,0,10,25,1,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,HUL,27,Renault,7,6,57,57,Finished,8,0,3,5,4,0.09523809523809523,0.9,0,0,1.2289999999999992,5,1,13,6,19,1,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,ALO,14,McLaren,13,7,56,57,+1 Lap,6,0,3,6,3,0.09523809523809523,0.9,0,0,2.254000000000005,8,1,15,4,15,1,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,VAN,2,McLaren,14,8,56,57,+1 Lap,4,0,8,6,3,0.09523809523809523,0.9,0,0,2.254000000000005,-8,0,11,8,23,0,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,ERI,9,Sauber,17,9,56,57,+1 Lap,2,1,1,0,5,0.09523809523809523,0.5,0,1,3.105000000000004,0,0,0,10,25,4,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,OCO,31,Force India,8,10,56,57,+1 Lap,1,0,4,0,5,0.09523809523809523,0.5,0,1,1.9159999999999968,0,0,0,10,25,3,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,SAI,55,Renault,10,11,56,57,+1 Lap,0,0,5,5,4,0.09523809523809523,0.9,0,0,1.2289999999999992,-5,0,10,9,24,3,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,LEC,16,Sauber,19,12,56,57,+1 Lap,0,0,0,0,5,0.09523809523809523,0.5,0,1,3.105000000000004,0,0,0,10,25,11,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,GRO,8,Haas F1 Team,16,13,56,57,+1 Lap,0,0,6,0,5,0.09523809523809523,0.5,0,1,1.4000000000000057,0,0,0,10,25,2,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,STR,18,Williams,20,14,56,57,+1 Lap,0,0,3,0,5,0.09523809523809523,0.5,0,1,3.456000000000003,0,0,0,10,25,11,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,SIR,35,Williams,18,15,56,57,+1 Lap,0,0,0,0,5,0.09523809523809523,0.5,0,1,3.456000000000003,0,0,0,10,25,8,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,PER,11,Force India,12,16,56,57,+1 Lap,0,0,5,0,5,0.09523809523809523,0.5,0,1,1.9159999999999968,0,0,0,10,25,3,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,HAR,28,Toro Rosso,11,17,56,57,+1 Lap,0,0,2,0,5,0.09523809523809523,0.5,0,1,1.3709999999999951,0,0,0,10,25,1,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,RAI,7,Ferrari,2,18,34,57,Wheel,0,0,0,9,0,0.09523809523809523,0.9,1,0,0,-10,0,17,2,10,0,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,VER,33,Red Bull Racing,15,19,4,57,Puncture,0,0,0,7,2,0.09523809523809523,0.9,0,0,0.4399999999999977,-4,0,14,5,17,0,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,2,Bahrain Grand Prix,RIC,3,Red Bull Racing,4,20,2,57,Electrical,0,0,0,7,2,0.09523809523809523,0.9,0,0,0.4399999999999977,4,1,16,3,13,0,1,0,0,0,5.412,2,0,FALSE,0,27.983,32.198,47.363,0.958
2018,3,Chinese Grand Prix,RIC,3,Red Bull Racing,6,1,56,56,Finished,25,1,4,6,3,0.14285714285714285,0.9,0,0,0.7010000000000076,4,1,12,6,38,0,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,BOT,77,Mercedes,3,2,56,56,Finished,18,0,0,8,1,0.14285714285714285,0.9,0,0,0.5300000000000011,-11,0,17,2,28,1,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,RAI,7,Ferrari,2,3,56,56,Finished,15,1,2,9,0,0.14285714285714285,0.9,1,0,0,-35,0,15,4,35,1,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,HAM,44,Mercedes,4,4,56,56,Finished,12,0,2,8,1,0.14285714285714285,0.9,0,0,0.5300000000000011,11,1,18,1,17,4,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,VER,33,Red Bull Racing,5,5,56,56,Finished,10,0,2,6,3,0.14285714285714285,0.9,0,0,0.7010000000000076,-4,0,10,9,42,3,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,HUL,27,Renault,7,6,56,56,Finished,8,0,5,5,4,0.14285714285714285,0.9,0,0,1.399000000000001,13,1,14,5,36,0,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,ALO,14,McLaren,13,7,56,56,Finished,6,0,3,7,2,0.14285714285714285,0.9,0,0,2.1370000000000005,10,1,16,3,34,0,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,VET,5,Ferrari,1,8,56,56,Finished,4,0,0,9,0,0.14285714285714285,0.9,1,0,0,35,1,19,0,0,5,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,SAI,55,Renault,9,9,56,56,Finished,2,0,5,5,4,0.14285714285714285,0.9,0,0,1.399000000000001,-13,0,6,12,49,0,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,MAG,20,Haas F1 Team,11,10,56,56,Finished,1,1,0,3,6,0.14285714285714285,0.9,0,0,1.429000000000002,10,1,11,8,40,3,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,OCO,31,Force India,12,11,56,56,Finished,0,1,7,1,8,0.14285714285714285,0.9,0,0,1.6629999999999967,1,1,6,12,49,1,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,PER,11,Force India,8,12,56,56,Finished,0,1,5,1,8,0.14285714285714285,0.9,0,0,1.6629999999999967,-1,0,0,14,50,1,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,VAN,2,McLaren,14,13,56,56,Finished,0,0,2,7,2,0.14285714285714285,0.9,0,0,2.1370000000000005,-10,0,9,10,44,3,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,STR,18,Williams,18,14,56,56,Finished,0,0,1,0,9,0.14285714285714285,0.9,0,1,2.9669999999999987,0,0,0,14,50,3,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,SIR,35,Williams,16,15,56,56,Finished,0,0,0,0,9,0.14285714285714285,0.9,0,1,2.9669999999999987,0,0,0,14,50,6,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,ERI,9,Sauber,20,16,56,56,Finished,0,1,0,2,7,0.14285714285714285,0.9,0,0,3.3589999999999947,2,1,8,11,48,4,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,GRO,8,Haas F1 Team,10,17,56,56,Finished,0,0,3,3,6,0.14285714285714285,0.9,0,0,1.429000000000002,-10,0,0,14,50,4,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,GAS,10,Toro Rosso,17,18,56,56,Finished,0,2,0,4,5,0.14285714285714285,0.9,0,0,2.700000000000003,12,1,12,6,38,3,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,LEC,16,Sauber,19,19,56,56,Finished,0,0,1,2,7,0.14285714285714285,0.9,0,0,3.3589999999999947,-2,0,0,14,50,5,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,3,Chinese Grand Prix,HAR,28,Toro Rosso,15,20,51,56,Collision damage,0,0,0,4,5,0.14285714285714285,0.9,0,0,2.700000000000003,-12,0,0,14,50,3,2,0.21875,0,0,5.451,2,0,TRUE,0.0179,19.446,37.02,24.089,1.838
2018,4,Azerbaijan Grand Prix,HAM,44,Mercedes,2,1,51,51,Finished,25,0,1,9,0,0.19047619047619047,0.9,1,0,0.17900000000000205,5,1,18,1,9,0,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,RAI,7,Ferrari,6,2,51,51,Finished,18,1,4,8,1,0.19047619047619047,0.9,0,0,0,-24,0,15,4,24,0,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,PER,11,Force India,8,3,51,51,Finished,15,0,6,1,8,0.19047619047619047,0.9,0,0,1.0249999999999915,-1,0,0,14,54,0,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,VET,5,Ferrari,1,4,51,51,Finished,12,0,0,8,1,0.19047619047619047,0.9,0,0,0,24,1,19,0,0,3,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,SAI,55,Renault,9,5,51,51,Finished,10,0,6,5,4,0.19047619047619047,0.9,0,0,1.5679999999999978,-19,0,8,11,51,4,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,LEC,16,Sauber,13,6,51,51,Finished,8,0,4,2,7,0.19047619047619047,0.9,0,0,2.2539999999999907,-2,0,0,14,54,3,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,ALO,14,McLaren,12,7,51,51,Finished,6,1,5,6,3,0.19047619047619047,0.9,0,0,2.5120000000000005,16,1,13,5,32,3,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,STR,18,Williams,10,8,51,51,Finished,4,0,6,0,9,0.19047619047619047,0.9,0,1,2.086999999999989,0,0,0,14,54,8,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,VAN,2,McLaren,16,9,51,51,Finished,2,0,0,6,3,0.19047619047619047,0.9,0,0,2.5120000000000005,-16,0,9,10,48,4,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,HAR,28,Toro Rosso,19,10,51,51,Finished,1,1,0,4,5,0.19047619047619047,0.9,0,0,2.9979999999999905,-12,0,0,14,54,4,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,ERI,9,Sauber,18,11,51,51,Finished,0,0,3,2,7,0.19047619047619047,0.9,0,0,2.2539999999999907,2,1,7,12,52,0,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,GAS,10,Toro Rosso,17,12,51,51,Finished,0,0,2,4,5,0.19047619047619047,0.9,0,0,2.9979999999999905,12,1,11,8,42,9,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,MAG,20,Haas F1 Team,15,13,51,51,Finished,0,0,0,3,6,0.19047619047619047,0.9,0,0,2.176000000000002,11,1,10,9,43,2,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,BOT,77,Mercedes,3,14,49,51,Puncture,0,0,0,9,0,0.19047619047619047,0.9,1,0,0.17900000000000205,-5,0,17,2,14,0,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,GRO,8,Haas F1 Team,20,15,43,51,Accident,0,0,3,3,6,0.19047619047619047,0.9,0,0,2.176000000000002,-11,0,0,14,54,1,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,VER,33,Red Bull Racing,5,16,40,51,Collision,0,0,1,7,2,0.19047619047619047,0.9,0,0,0.4129999999999967,-19,0,12,7,36,4,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,RIC,3,Red Bull Racing,4,17,40,51,Collision,0,1,0,7,2,0.19047619047619047,0.9,0,0,0.4129999999999967,19,1,16,3,17,2,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,HUL,27,Renault,14,18,11,51,Accident,0,0,3,5,4,0.19047619047619047,0.9,0,0,1.5679999999999978,19,1,13,5,32,1,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,OCO,31,Force India,7,19,1,51,Collision,0,0,0,1,8,0.19047619047619047,0.9,0,0,1.0249999999999915,1,1,6,13,53,0,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,4,Azerbaijan Grand Prix,SIR,35,Williams,11,20,1,51,Collision,0,0,0,0,9,0.19047619047619047,0.9,0,1,2.086999999999989,0,0,0,14,54,0,3,0.2923076923076923,0,1,6.003,2,0,FALSE,0,16.661,25.252,45.652,2.223
2018,5,Spanish Grand Prix,HAM,44,Mercedes,1,1,66,66,Finished,25,0,0,8,1,0.23809523809523808,0.9,0,0,0,30,1,19,0,0,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,BOT,77,Mercedes,2,2,66,66,Finished,18,0,0,8,1,0.23809523809523808,0.9,0,0,0,-30,0,16,3,30,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,VER,33,Red Bull Racing,5,3,66,66,Finished,15,0,1,7,2,0.23809523809523808,0.9,0,0,0.6430000000000007,-19,0,12,7,52,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,VET,5,Ferrari,3,4,66,66,Finished,12,0,1,9,0,0.23809523809523808,0.9,1,0,0.132000000000005,18,1,18,1,4,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,RIC,3,Red Bull Racing,6,5,66,66,Finished,10,0,0,7,2,0.23809523809523808,0.9,0,0,0.6430000000000007,19,1,15,4,33,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,MAG,20,Haas F1 Team,7,6,65,66,+1 Lap,8,0,0,2,7,0.23809523809523808,0.9,0,0,1.4449999999999932,11,1,8,11,59,1,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,SAI,55,Renault,9,7,65,66,+1 Lap,6,0,0,5,4,0.23809523809523808,0.9,0,0,1.6170000000000044,-9,0,10,9,57,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,ALO,14,McLaren,8,8,65,66,+1 Lap,4,0,3,6,3,0.23809523809523808,0.9,0,0,1.5480000000000018,20,1,14,5,42,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,PER,11,Force India,15,9,64,66,+2 Laps,2,0,3,4,5,0.23809523809523808,0.9,0,0,2.522999999999996,14,1,11,8,55,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,LEC,16,Sauber,14,10,64,66,+2 Laps,1,0,1,1,8,0.23809523809523808,0.9,0,0,2.4879999999999995,6,1,6,12,62,2,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,STR,18,Williams,18,11,64,66,+2 Laps,0,0,0,0,9,0.23809523809523808,0.9,0,1,3.5219999999999914,4,1,5,14,66,2,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,HAR,28,Toro Rosso,20,12,64,66,+2 Laps,0,0,1,3,6,0.23809523809523808,0.9,0,0,2.289999999999992,-11,0,2,16,69,3,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,ERI,9,Sauber,17,13,64,66,+2 Laps,0,0,0,1,8,0.23809523809523808,0.9,0,0,2.4879999999999995,-6,0,4,15,68,1,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,SIR,35,Williams,19,14,63,66,+3 Laps,0,0,1,0,9,0.23809523809523808,0.9,0,1,3.5219999999999914,-4,0,0,18,70,1,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,VAN,2,McLaren,11,15,46,66,Gearbox,0,0,0,6,3,0.23809523809523808,0.9,0,0,1.5480000000000018,-20,0,6,12,62,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,OCO,31,Force India,13,16,39,66,Oil leak,0,0,1,4,5,0.23809523809523808,0.9,0,0,2.522999999999996,-14,0,2,16,69,1,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,RAI,7,Ferrari,4,17,25,66,Turbo,0,0,0,9,0,0.23809523809523808,0.9,1,0,0.132000000000005,-18,0,17,2,22,1,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,GRO,8,Haas F1 Team,10,18,1,66,Collision,0,0,0,2,7,0.23809523809523808,0.9,0,0,1.4449999999999932,-11,0,0,18,70,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,GAS,10,Toro Rosso,12,19,1,66,Collision,0,0,0,3,6,0.23809523809523808,0.9,0,0,2.289999999999992,11,1,9,10,58,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
2018,5,Spanish Grand Prix,HUL,27,Renault,16,20,1,66,Collision,0,0,0,5,4,0.23809523809523808,0.9,0,0,1.6170000000000044,9,1,13,6,48,0,4,0.07407407407407407,0,0,4.675,2,0,TRUE,0.7905,16.05,32.339,52.287,1.952
